step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size,tp_size
0,10.400886720,21.83970362599939,22.043780676089227,polar,manual,io,full,,,2,8,1
1,6.809157453,14.91058719693683,36.956212729914114,polar,manual,io,full,,,2,8,1
2,6.385289334,14.911805368028581,51.869030287954956,polar,manual,io,full,,,2,8,1
3,6.025395655,14.912759415106848,66.78275777609088,polar,manual,io,full,,,2,8,1
4,5.636408242,14.87677984801121,81.66048841294833,polar,manual,io,full,,,2,8,1
5,5.643362925,14.970128400949761,96.63156671309844,polar,manual,io,full,,,2,8,1
6,5.902268015,14.890425962861627,111.52301044110209,polar,manual,io,full,,,2,8,1
7,4.863539528,14.968075232813135,126.49198327888735,polar,manual,io,full,,,2,8,1
8,4.812394128,15.127785749034956,141.62105943099596,polar,manual,io,full,,,2,8,1
9,5.295632157,15.122249650070444,156.74453140306287,polar,manual,io,full,,,2,8,1
10,4.296719774,15.09799852501601,171.84365098108537,polar,manual,io,full,,,2,8,1
11,3.984275560,15.043623762903735,186.888339092955,polar,manual,io,full,,,2,8,1
12,5.242983848,15.042799785966054,201.93226676993072,polar,manual,io,full,,,2,8,1
13,4.972683715,15.077621338889003,217.0110158470925,polar,manual,io,full,,,2,8,1
14,4.635468998,14.903934456873685,231.91619819705375,polar,manual,io,full,,,2,8,1
15,5.242228384,14.865269311936572,246.78247676906176,polar,manual,io,full,,,2,8,1
16,3.888436380,14.979639319004491,261.76293745893054,polar,manual,io,full,,,2,8,1
17,4.257382768,14.98234733613208,276.74618579703383,polar,manual,io,full,,,2,8,1
18,4.515316392,15.019474148983136,291.766697488958,polar,manual,io,full,,,2,8,1
19,3.654202324,14.984911207808182,306.752513974905,polar,manual,io,full,,,2,8,1
20,4.521207991,15.15826252498664,321.9117579020094,polar,manual,io,full,,,2,8,1
21,5.289729749,14.945555158890784,336.85866012005135,polar,manual,io,full,,,2,8,1
22,4.564766743,15.059379013022408,351.9193723089993,polar,manual,io,full,,,2,8,1
23,3.914686415,14.99914417695254,366.920057018986,polar,manual,io,full,,,2,8,1
24,3.408645306,15.008997432887554,381.93011865695007,polar,manual,io,full,,,2,8,1
25,4.244251932,15.00292568700388,396.9339986459818,polar,manual,io,full,,,2,8,1
26,4.888107220,15.07185427704826,412.00687661091797,polar,manual,io,full,,,2,8,1
27,4.154075635,15.011837462894619,427.0203513049055,polar,manual,io,full,,,2,8,1
28,4.595106557,14.988357131136581,442.0099549170118,polar,manual,io,full,,,2,8,1
29,4.468265956,15.051174216903746,457.06258224206977,polar,manual,io,full,,,2,8,1
30,5.397473026,15.06905550789088,472.132518654922,polar,manual,io,full,,,2,8,1
31,4.238393316,15.078054014826193,487.21178273204714,polar,manual,io,full,,,2,8,1
32,4.912850438,15.080350744072348,502.293004788924,polar,manual,io,full,,,2,8,1
33,4.537120741,14.93467007111758,517.2288855849765,polar,manual,io,full,,,2,8,1
34,4.136978294,14.9320018151775,532.1617604000494,polar,manual,io,full,,,2,8,1
35,5.125387451,14.957983131986111,547.1206878689118,polar,manual,io,full,,,2,8,1
36,4.425237769,15.051774014951661,562.1739696839359,polar,manual,io,full,,,2,8,1
37,4.735858086,14.917193910107017,577.0921401469968,polar,manual,io,full,,,2,8,1
38,4.271377655,14.974688317859545,592.0681461850181,polar,manual,io,full,,,2,8,1
39,3.874110449,14.998120337957516,607.067823193036,polar,manual,io,full,,,2,8,1
40,4.649965445,14.909780841087922,621.9788527470082,polar,manual,io,full,,,2,8,1
41,5.390218248,15.012068030191585,636.9921837579459,polar,manual,io,full,,,2,8,1
42,4.503289564,15.010703330859542,652.0037011939567,polar,manual,io,full,,,2,8,1
43,4.700689961,14.950121956178918,666.9549154399429,polar,manual,io,full,,,2,8,1
44,3.472769373,14.957842278061435,681.9137944809627,polar,manual,io,full,,,2,8,1
45,4.163839143,15.034529737196863,696.9493373229634,polar,manual,io,full,,,2,8,1
46,3.565084794,14.934089021990076,711.8845509949606,polar,manual,io,full,,,2,8,1
47,5.168765855,14.967587749939412,726.8528979769908,polar,manual,io,full,,,2,8,1
48,4.400978518,15.065183281898499,741.9193399790674,polar,manual,io,full,,,2,8,1
49,4.331843490,15.276874264003709,757.197359980084,polar,manual,io,full,,,2,8,1
50,4.435879569,14.968631306895986,772.166812700918,polar,manual,io,full,,,2,8,1
51,4.222131770,15.131141618825495,787.2994447259698,polar,manual,io,full,,,2,8,1
52,4.443713551,15.126261195866391,802.4265858649742,polar,manual,io,full,,,2,8,1
53,3.803664384,15.00443072291091,817.4319881759584,polar,manual,io,full,,,2,8,1
54,4.160059424,15.065487522166222,832.4984600329772,polar,manual,io,full,,,2,8,1
55,5.030238798,14.998544831993058,847.4979689840693,polar,manual,io,full,,,2,8,1
56,4.527658714,15.030577508965507,862.5294772009365,polar,manual,io,full,,,2,8,1
57,4.248954304,14.983165400801226,877.5138536018785,polar,manual,io,full,,,2,8,1
58,4.322131693,14.892750227125362,892.4075982260983,polar,manual,io,full,,,2,8,1
59,5.132384587,14.923835011897609,907.3328272129875,polar,manual,io,full,,,2,8,1
60,4.632842690,14.994442017981783,922.3288547529373,polar,manual,io,full,,,2,8,1
61,4.382389317,14.933758697938174,937.2637981690932,polar,manual,io,full,,,2,8,1
62,4.112208702,14.900771244894713,952.1653862448875,polar,manual,io,full,,,2,8,1
63,4.469161927,14.908188951900229,967.0746001328807,polar,manual,io,full,,,2,8,1
64,4.734072883,14.92001812509261,981.9958918809425,polar,manual,io,full,,,2,8,1
65,3.867835226,14.876672143116593,996.873687289888,polar,manual,io,full,,,2,8,1
66,4.349737546,14.887643109075725,1011.7627686939668,polar,manual,io,full,,,2,8,1
67,4.383532280,14.950266612926498,1026.7140424330719,polar,manual,io,full,,,2,8,1
68,4.225376337,14.887199182994664,1041.6021652640775,polar,manual,io,full,,,2,8,1
69,3.917148665,14.90235515194945,1056.5054914439097,polar,manual,io,full,,,2,8,1
70,4.602903193,14.987509230151772,1071.4941193580162,polar,manual,io,full,,,2,8,1
71,4.957611776,14.929944284027442,1086.4250990469009,polar,manual,io,full,,,2,8,1
72,3.617105731,14.894506777869537,1101.320816556923,polar,manual,io,full,,,2,8,1
73,4.607648091,14.950546805048361,1116.2722465880215,polar,manual,io,full,,,2,8,1
74,3.815768966,15.024064716883004,1131.2974349819124,polar,manual,io,full,,,2,8,1
75,4.988135836,15.029872867045924,1146.3282810300589,polar,manual,io,full,,,2,8,1
76,3.586453687,14.906128647038713,1161.2354302948806,polar,manual,io,full,,,2,8,1
77,4.896218091,14.996817369014025,1176.2332589770667,polar,manual,io,full,,,2,8,1
78,3.615490975,14.885547737125307,1191.120454005897,polar,manual,io,full,,,2,8,1
79,4.288075448,15.029021610040218,1206.150302319089,polar,manual,io,full,,,2,8,1
80,4.463792110,14.87381838914007,1221.0252696399111,polar,manual,io,full,,,2,8,1
81,3.927907213,14.908032822189853,1235.9348986509722,polar,manual,io,full,,,2,8,1
82,4.051185341,14.94236622704193,1250.8785402330104,polar,manual,io,full,,,2,8,1
83,4.086343382,14.913650461938232,1265.7935327629093,polar,manual,io,full,,,2,8,1
84,3.724296227,14.856931254966184,1280.651431150036,polar,manual,io,full,,,2,8,1
85,4.452474224,14.957676392048597,1295.6100735219661,polar,manual,io,full,,,2,8,1
86,3.727732760,14.859801528044045,1310.4709764400031,polar,manual,io,full,,,2,8,1
87,3.471264497,14.900776810012758,1325.3731591419782,polar,manual,io,full,,,2,8,1
88,4.184345228,14.859989539952949,1340.2342887308914,polar,manual,io,full,,,2,8,1
89,4.501270856,15.10742232692428,1355.342971446924,polar,manual,io,full,,,2,8,1
90,3.480228652,14.958200321067125,1370.302382695023,polar,manual,io,full,,,2,8,1
91,4.015939432,14.914914194960147,1385.218236593064,polar,manual,io,full,,,2,8,1
92,4.320598046,15.027330852113664,1400.246861381922,polar,manual,io,full,,,2,8,1
93,4.236623506,14.99992592795752,1415.2477313799318,polar,manual,io,full,,,2,8,1
94,4.342835824,14.993612499907613,1430.2431391619612,polar,manual,io,full,,,2,8,1
95,3.422204009,15.015000510960817,1445.258972370997,polar,manual,io,full,,,2,8,1
96,3.699254008,14.894587990129367,1460.1548377359286,polar,manual,io,full,,,2,8,1
97,3.910504834,14.9248142298311,1475.0807099719532,polar,manual,io,full,,,2,8,1
98,4.135799718,14.958805470960215,1490.040810794104,polar,manual,io,full,,,2,8,1
99,4.212266951,14.950331434840336,1504.9927905779332,polar,manual,io,full,,,2,8,1
