step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,11.101078033447266,11.525235563050956,11.735252184094861,diloco,manual,io,full,blocking,4,2,8
1,6.850665092468262,4.8497745339991525,16.587455003056675,diloco,manual,io,full,blocking,4,2,8
2,5.448512077331543,4.828691391041502,21.416918192990124,diloco,manual,io,full,blocking,4,2,8
3,7.488234996795654,13.43603780400008,34.85409065708518,diloco,manual,io,full,blocking,4,2,8
4,5.849117279052734,5.597903272951953,40.453886796021834,diloco,manual,io,full,blocking,4,2,8
5,5.843138217926025,4.863512206939049,45.31842594605405,diloco,manual,io,full,blocking,4,2,8
6,5.938044548034668,4.858120145974681,50.17730699607637,diloco,manual,io,full,blocking,4,2,8
7,4.980813026428223,13.677941720932722,63.85644485405646,diloco,manual,io,full,blocking,4,2,8
8,4.869246959686279,5.525644368957728,69.38345368509181,diloco,manual,io,full,blocking,4,2,8
9,5.150679588317871,4.8568202359601855,74.24134163709823,diloco,manual,io,full,blocking,4,2,8
10,4.330295562744141,4.8621659160126,79.10429371299688,diloco,manual,io,full,blocking,4,2,8
11,4.116880416870117,13.202257205033675,92.30761482799426,diloco,manual,io,full,blocking,4,2,8
12,4.944289207458496,5.926136280060746,98.23502946808003,diloco,manual,io,full,blocking,4,2,8
13,4.8746843338012695,4.8593924780143425,103.09546829201281,diloco,manual,io,full,blocking,4,2,8
14,4.694611549377441,4.865084570017643,107.96132441109512,diloco,manual,io,full,blocking,4,2,8
15,5.301103591918945,14.08742560702376,122.05009842698928,diloco,manual,io,full,blocking,4,2,8
16,3.796384811401367,4.9948998329928145,127.04755494103301,diloco,manual,io,full,blocking,4,2,8
17,4.252078533172607,4.862125842017122,131.9108623689972,diloco,manual,io,full,blocking,4,2,8
18,4.556040287017822,4.861426705960184,136.7734888290288,diloco,manual,io,full,blocking,4,2,8
19,3.6789772510528564,13.43043062405195,150.20474810805172,diloco,manual,io,full,blocking,4,2,8
20,4.512173652648926,5.593448917963542,155.8006974440068,diloco,manual,io,full,blocking,4,2,8
21,5.135168552398682,4.860034445067868,160.66186152701266,diloco,manual,io,full,blocking,4,2,8
22,4.614928722381592,4.854432835010812,165.51761695707683,diloco,manual,io,full,blocking,4,2,8
23,3.915703535079956,13.575014468980953,179.09344314900227,diloco,manual,io,full,blocking,4,2,8
24,3.2263875007629395,5.434397247969173,184.53063727205154,diloco,manual,io,full,blocking,4,2,8
25,4.100210189819336,4.864332986064255,189.39591845008545,diloco,manual,io,full,blocking,4,2,8
26,4.6396636962890625,4.85988272796385,194.25727252906654,diloco,manual,io,full,blocking,4,2,8
27,4.00600528717041,13.37508216907736,207.63344895502087,diloco,manual,io,full,blocking,4,2,8
28,4.277889251708984,5.642960799974389,213.27926709200256,diloco,manual,io,full,blocking,4,2,8
29,4.355085849761963,4.862739243078977,218.14352024206892,diloco,manual,io,full,blocking,4,2,8
30,5.1080780029296875,4.857366223004647,223.00190510903485,diloco,manual,io,full,blocking,4,2,8
31,3.871511936187744,13.285515796975233,236.28909061301965,diloco,manual,io,full,blocking,4,2,8
32,4.5475311279296875,5.70560117601417,241.99631998909172,diloco,manual,io,full,blocking,4,2,8
33,4.240482330322266,4.860657871933654,246.85837855003774,diloco,manual,io,full,blocking,4,2,8
34,3.961723804473877,4.856086655985564,251.71542776899878,diloco,manual,io,full,blocking,4,2,8
35,4.826990127563477,13.620395136997104,265.33659521106165,diloco,manual,io,full,blocking,4,2,8
36,4.205952167510986,5.46660967101343,270.80430475005414,diloco,manual,io,full,blocking,4,2,8
37,4.431626319885254,4.870809176005423,275.6761681881035,diloco,manual,io,full,blocking,4,2,8
38,3.993647575378418,4.843511198996566,280.52073746407405,diloco,manual,io,full,blocking,4,2,8
39,3.4412307739257812,13.299951044959016,293.82215041003656,diloco,manual,io,full,blocking,4,2,8
40,4.45904541015625,5.612731467932463,299.43729861604515,diloco,manual,io,full,blocking,4,2,8
41,4.861854553222656,4.867790068034083,304.3061828610953,diloco,manual,io,full,blocking,4,2,8
42,4.123733043670654,4.86668961297255,309.17394646804314,diloco,manual,io,full,blocking,4,2,8
43,4.442010879516602,13.72785898600705,322.9028466800228,diloco,manual,io,full,blocking,4,2,8
44,3.235119581222534,5.299226118950173,328.2041867050575,diloco,manual,io,full,blocking,4,2,8
45,3.8559165000915527,4.864398256060667,333.07004838006105,diloco,manual,io,full,blocking,4,2,8
46,3.3093297481536865,4.8599057759856805,337.93105350609403,diloco,manual,io,full,blocking,4,2,8
47,4.765374660491943,13.210740613983944,351.1428811229998,diloco,manual,io,full,blocking,4,2,8
48,4.253171920776367,5.903006217093207,357.04694769205526,diloco,manual,io,full,blocking,4,2,8
49,3.9640021324157715,4.858296519960277,361.9062472610967,diloco,manual,io,full,blocking,4,2,8
