step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,10.827125549316406,11.179215965094045,11.378138446016237,streaming-diloco,manual,io,full,streaming,4,2,8
1,6.817668914794922,4.836228208034299,16.216509226942435,streaming-diloco,manual,io,full,streaming,4,2,8
2,4.972469329833984,4.851903757080436,21.06947524298448,streaming-diloco,manual,io,full,streaming,4,2,8
3,6.740387916564941,4.8549805680522695,25.925352709018625,streaming-diloco,manual,io,full,streaming,4,2,8
4,5.978426456451416,14.190848825033754,40.119460518006235,streaming-diloco,manual,io,full,streaming,4,2,8
5,5.846304893493652,4.863533161929809,44.984486483968794,streaming-diloco,manual,io,full,streaming,4,2,8
6,6.001375675201416,4.862087249057367,49.847687074914575,streaming-diloco,manual,io,full,streaming,4,2,8
7,5.081467628479004,4.859974963008426,54.708992665982805,streaming-diloco,manual,io,full,streaming,4,2,8
8,4.978875637054443,14.221689240890555,68.93376862001605,streaming-diloco,manual,io,full,streaming,4,2,8
9,5.20118522644043,4.860955502022989,73.79573908797465,streaming-diloco,manual,io,full,streaming,4,2,8
10,4.393091678619385,4.860360282007605,78.65704400395043,streaming-diloco,manual,io,full,streaming,4,2,8
11,4.126766681671143,4.848565777996555,83.50666990794707,streaming-diloco,manual,io,full,streaming,4,2,8
12,5.003874778747559,14.308358256006613,97.81760649196804,streaming-diloco,manual,io,full,streaming,4,2,8
13,4.908673286437988,4.859405106981285,102.6784468939295,streaming-diloco,manual,io,full,streaming,4,2,8
14,4.723158359527588,4.853255557944067,107.53257706295699,streaming-diloco,manual,io,full,streaming,4,2,8
15,5.318675518035889,4.858614197000861,112.39222982595675,streaming-diloco,manual,io,full,streaming,4,2,8
16,3.829638957977295,14.401972502004355,126.79679751698859,streaming-diloco,manual,io,full,streaming,4,2,8
17,4.293003082275391,4.858941005077213,131.65699416294228,streaming-diloco,manual,io,full,streaming,4,2,8
18,4.597320079803467,4.856539577012882,136.5144597219769,streaming-diloco,manual,io,full,streaming,4,2,8
19,3.68662166595459,4.8545836069388315,141.36989376798738,streaming-diloco,manual,io,full,streaming,4,2,8
20,4.542489051818848,14.319855312933214,155.69231314596254,streaming-diloco,manual,io,full,streaming,4,2,8
21,5.182371139526367,4.8624657759210095,160.55581739894114,streaming-diloco,manual,io,full,streaming,4,2,8
22,4.633312225341797,4.854315288946964,165.41129350301344,streaming-diloco,manual,io,full,streaming,4,2,8
23,3.950773000717163,4.865262917010114,170.27759325597435,streaming-diloco,manual,io,full,streaming,4,2,8
24,3.202268362045288,14.291922183940187,184.57218401296996,streaming-diloco,manual,io,full,streaming,4,2,8
25,4.11182975769043,4.869276840938255,189.44309192500077,streaming-diloco,manual,io,full,streaming,4,2,8
26,4.65299129486084,4.852779943030328,194.2971155080013,streaming-diloco,manual,io,full,streaming,4,2,8
27,4.021949768066406,4.853294568019919,199.15203486196697,streaming-diloco,manual,io,full,streaming,4,2,8
28,4.321878910064697,14.44114872906357,213.59644376591314,streaming-diloco,manual,io,full,streaming,4,2,8
29,4.3219146728515625,4.852365085040219,218.4499405149836,streaming-diloco,manual,io,full,streaming,4,2,8
30,5.099582672119141,4.862970696063712,223.31491113291122,streaming-diloco,manual,io,full,streaming,4,2,8
31,3.9308857917785645,4.851778063108213,228.16839296498802,streaming-diloco,manual,io,full,streaming,4,2,8
32,4.565871238708496,14.168257419019938,242.33991135295946,streaming-diloco,manual,io,full,streaming,4,2,8
33,4.265403747558594,4.8593332059681416,247.20085167791694,streaming-diloco,manual,io,full,streaming,4,2,8
34,3.966259002685547,4.856006144080311,252.0584703279892,streaming-diloco,manual,io,full,streaming,4,2,8
35,4.869809150695801,4.860376360011287,256.91961416893173,streaming-diloco,manual,io,full,streaming,4,2,8
36,4.232499122619629,14.11217654705979,271.0344678069232,streaming-diloco,manual,io,full,streaming,4,2,8
37,4.451643943786621,4.862641072017141,275.8987176679075,streaming-diloco,manual,io,full,streaming,4,2,8
38,3.9980859756469727,4.866330520948395,280.76625868992414,streaming-diloco,manual,io,full,streaming,4,2,8
39,3.4650797843933105,4.848286880063824,285.6153273800155,streaming-diloco,manual,io,full,streaming,4,2,8
40,4.472164154052734,14.247324964031577,299.8653603090206,streaming-diloco,manual,io,full,streaming,4,2,8
41,4.883627891540527,4.853036907035857,304.7199339369545,streaming-diloco,manual,io,full,streaming,4,2,8
42,4.138612270355225,4.851515023969114,309.57286265993025,streaming-diloco,manual,io,full,streaming,4,2,8
43,4.455470085144043,4.861954084015451,314.4357350060018,streaming-diloco,manual,io,full,streaming,4,2,8
44,3.2489829063415527,14.408615502063185,328.84689221996814,streaming-diloco,manual,io,full,streaming,4,2,8
45,3.8537535667419434,4.873120971024036,333.72119429300074,streaming-diloco,manual,io,full,streaming,4,2,8
46,3.3351030349731445,4.866901030065492,338.5888383439742,streaming-diloco,manual,io,full,streaming,4,2,8
47,4.782464027404785,4.865390426944941,343.4549927469343,streaming-diloco,manual,io,full,streaming,4,2,8
48,4.26496696472168,14.181855179020204,357.63938610395417,streaming-diloco,manual,io,full,streaming,4,2,8
49,3.9736216068267822,4.862869207048789,362.50323885900434,streaming-diloco,manual,io,full,streaming,4,2,8
