step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,10.773837089538574,15.362020471948199,15.554646314005367,polar,manual,io,full,,,2,8
1,6.946908950805664,7.436163512989879,22.992930479929782,polar,manual,io,full,,,2,8
2,5.143563270568848,7.442896418040618,30.43688862991985,polar,manual,io,full,,,2,8
3,6.448993682861328,7.444258020026609,37.88215327798389,polar,manual,io,full,,,2,8
4,6.176143646240234,7.400538412039168,45.28406286193058,polar,manual,io,full,,,2,8
5,5.790260314941406,7.460943004931323,52.74603165697772,polar,manual,io,full,,,2,8
6,6.8136138916015625,7.436889179050922,60.18395146098919,polar,manual,io,full,,,2,8
7,5.8377580642700195,7.408952842000872,67.59403607994318,polar,manual,io,full,,,2,8
8,5.688140392303467,7.428055552998558,75.02286689996254,polar,manual,io,full,,,2,8
9,5.776569843292236,7.461294433102012,82.48533732397482,polar,manual,io,full,,,2,8
10,4.965349197387695,7.412165537942201,89.89826678799,polar,manual,io,full,,,2,8
11,4.638125896453857,7.471616327995434,97.37103591801133,polar,manual,io,full,,,2,8
12,5.6695332527160645,7.461043810006231,104.83288500097115,polar,manual,io,full,,,2,8
13,5.558841705322266,7.40155833796598,112.2353856730042,polar,manual,io,full,,,2,8
14,5.743688583374023,7.587586426991038,119.82391224696767,polar,manual,io,full,,,2,8
15,6.036518096923828,7.467903027078137,127.29259495995939,polar,manual,io,full,,,2,8
16,4.367273330688477,7.4022570110391825,134.6957300369395,polar,manual,io,full,,,2,8
17,4.776336669921875,7.4289062729803845,142.1256688699359,polar,manual,io,full,,,2,8
18,5.229422092437744,7.45742320001591,149.58397925191093,polar,manual,io,full,,,2,8
19,4.203604698181152,7.411214148043655,156.99599900993053,polar,manual,io,full,,,2,8
20,5.220842361450195,7.4614703230326995,164.4583516989369,polar,manual,io,full,,,2,8
21,6.035414218902588,7.478108984068967,171.93733293493278,polar,manual,io,full,,,2,8
22,5.382625102996826,7.408902052091435,179.34710290899966,polar,manual,io,full,,,2,8
23,4.546914577484131,7.471013852045871,186.8189772060141,polar,manual,io,full,,,2,8
24,3.7822957038879395,7.445966660045087,194.2657429369865,polar,manual,io,full,,,2,8
25,4.717694282531738,7.425911993952468,201.69253750296775,polar,manual,io,full,,,2,8
26,5.355401515960693,7.451353239943273,209.1451382539235,polar,manual,io,full,,,2,8
27,4.586669921875,7.4437988040735945,216.58999508596025,polar,manual,io,full,,,2,8
28,5.0797247886657715,7.40531618706882,223.99609341600444,polar,manual,io,full,,,2,8
29,4.846090793609619,7.475652481080033,231.47247326397337,polar,manual,io,full,,,2,8
30,5.819309711456299,7.465297990012914,238.9386576229008,polar,manual,io,full,,,2,8
31,4.454669952392578,7.407585481065325,246.34726335899904,polar,manual,io,full,,,2,8
32,5.2311906814575195,7.476800252916291,253.82509402791038,polar,manual,io,full,,,2,8
33,4.78671932220459,7.467556055053137,261.29342551890295,polar,manual,io,full,,,2,8
34,4.520084381103516,7.427594506065361,268.7217666239012,polar,manual,io,full,,,2,8
35,5.440141677856445,7.4501488889800385,276.1729296139674,polar,manual,io,full,,,2,8
36,4.775389194488525,7.487680183025077,283.66201025794726,polar,manual,io,full,,,2,8
37,4.897568225860596,7.401792649063282,291.0647363299504,polar,manual,io,full,,,2,8
38,4.443685054779053,7.445052850060165,298.51067031291313,polar,manual,io,full,,,2,8
39,3.8617944717407227,7.444721189909615,305.95619960397016,polar,manual,io,full,,,2,8
40,4.96672248840332,7.444182557985187,313.4011251159245,polar,manual,io,full,,,2,8
41,5.466133117675781,7.444511965964921,320.84651748195756,polar,manual,io,full,,,2,8
42,4.635744094848633,7.535315401968546,328.38269795291126,polar,manual,io,full,,,2,8
43,4.907002925872803,7.444633116014302,335.82832853891887,polar,manual,io,full,,,2,8
44,3.6029305458068848,7.445043907035142,343.27440978295635,polar,manual,io,full,,,2,8
45,4.293173789978027,7.454760731081478,350.7299282349413,polar,manual,io,full,,,2,8
46,3.724672794342041,7.4183552559698,358.1495214579627,polar,manual,io,full,,,2,8
47,5.319113254547119,7.447612511925399,365.59802507795393,polar,manual,io,full,,,2,8
48,4.67373514175415,7.460866285022348,373.05973126890603,polar,manual,io,full,,,2,8
49,4.433484077453613,7.410690575954504,380.4711819239892,polar,manual,io,full,,,2,8
