step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,10.549458503723145,15.556312620057724,15.786621008999646,polar,manual,io,full,,,2,8
1,6.901881217956543,7.465925900964066,23.254677625955082,polar,manual,io,full,,,2,8
2,5.199367046356201,7.416391534963623,30.672492642886937,polar,manual,io,full,,,2,8
3,6.2569193840026855,7.4388283640146255,38.112112498958595,polar,manual,io,full,,,2,8
4,6.156014442443848,7.42301809892524,45.53616904199589,polar,manual,io,full,,,2,8
5,5.6924729347229,7.432403163984418,52.969343270990066,polar,manual,io,full,,,2,8
6,6.367259502410889,7.424231630982831,60.39446014398709,polar,manual,io,full,,,2,8
7,5.89823579788208,7.418766304035671,67.81421626196243,polar,manual,io,full,,,2,8
8,5.359550476074219,7.416402971954085,75.23153362097219,polar,manual,io,full,,,2,8
9,5.737358093261719,7.441743990988471,82.6740335499635,polar,manual,io,full,,,2,8
10,5.173468589782715,7.445449349936098,90.12035134399775,polar,manual,io,full,,,2,8
11,4.942600727081299,7.436787027982064,97.5580393569544,polar,manual,io,full,,,2,8
12,6.092525482177734,7.411227914039046,104.9699885789305,polar,manual,io,full,,,2,8
13,5.863280296325684,7.443917888915166,112.41469336289447,polar,manual,io,full,,,2,8
14,5.694545745849609,7.395680041052401,119.81115432898514,polar,manual,io,full,,,2,8
15,6.333311080932617,7.454641593969427,127.26676328491885,polar,manual,io,full,,,2,8
16,4.683544158935547,7.437117520952597,134.704606990912,polar,manual,io,full,,,2,8
17,4.900357246398926,7.410286986036226,142.11568846192677,polar,manual,io,full,,,2,8
18,5.321637153625488,7.440710682072677,149.55713699490298,polar,manual,io,full,,,2,8
19,4.269932746887207,7.429924109019339,156.98794908390846,polar,manual,io,full,,,2,8
20,5.190759658813477,7.423626461066306,164.41274288389832,polar,manual,io,full,,,2,8
21,5.992677211761475,7.415635703015141,171.82913339394145,polar,manual,io,full,,,2,8
22,5.272292137145996,7.4765753409592435,179.30651156697422,polar,manual,io,full,,,2,8
23,4.464519023895264,7.396704138023779,186.70394158689305,polar,manual,io,full,,,2,8
24,3.719205856323242,7.434282653033733,194.1389848109102,polar,manual,io,full,,,2,8
25,4.65499210357666,7.450244687963277,201.5900829869788,polar,manual,io,full,,,2,8
26,5.148372173309326,7.4108872229699045,209.00185162795242,polar,manual,io,full,,,2,8
27,4.436374187469482,7.490263263112865,216.49329483392648,polar,manual,io,full,,,2,8
28,4.774575233459473,7.44472551101353,223.93873957789037,polar,manual,io,full,,,2,8
29,4.735193252563477,7.437479118001647,231.37711143493652,polar,manual,io,full,,,2,8
30,5.6701741218566895,7.499450392089784,238.87729239591863,polar,manual,io,full,,,2,8
31,4.389532089233398,7.431393429054879,246.3095283769071,polar,manual,io,full,,,2,8
32,5.109576225280762,7.43503984704148,253.74546679889318,polar,manual,io,full,,,2,8
33,4.6637678146362305,7.445645383093506,261.1919026259566,polar,manual,io,full,,,2,8
34,4.4072418212890625,7.4436941971071064,268.636669640895,polar,manual,io,full,,,2,8
35,5.303746700286865,7.399836602038704,276.03723383590113,polar,manual,io,full,,,2,8
36,4.624826431274414,7.428023145068437,283.46603602997493,polar,manual,io,full,,,2,8
37,4.8231306076049805,7.4395538460230455,290.9063281669514,polar,manual,io,full,,,2,8
38,4.4256911277771,7.423308773897588,298.33048354496714,polar,manual,io,full,,,2,8
39,3.833521604537964,7.463676551007666,305.7950266309781,polar,manual,io,full,,,2,8
40,4.931491374969482,7.447129772976041,313.2429303089157,polar,manual,io,full,,,2,8
41,5.404637336730957,7.4192320520523936,320.6628950058948,polar,manual,io,full,,,2,8
42,4.591368675231934,7.44532167701982,328.10891569196247,polar,manual,io,full,,,2,8
43,4.896678447723389,7.44981316907797,335.5594566829968,polar,manual,io,full,,,2,8
44,3.5832691192626953,7.4082239179406315,342.9685397829162,polar,manual,io,full,,,2,8
45,4.249118804931641,7.55249636201188,350.5217659509508,polar,manual,io,full,,,2,8
46,3.687455654144287,7.448685958981514,357.9714175979607,polar,manual,io,full,,,2,8
47,5.301753044128418,7.399582869024016,365.37184050888754,polar,manual,io,full,,,2,8
48,4.693669319152832,7.429722066968679,372.8023532308871,polar,manual,io,full,,,2,8
49,4.42380428314209,7.434045361005701,380.2371401479468,polar,manual,io,full,,,2,8
