step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,11.008167266845703,13.36472724401392,13.562899537035264,polar,manual,scaling_only,no_error_feedback,,,2,8
1,7.016602516174316,7.239706622087397,20.804578196955845,polar,manual,scaling_only,no_error_feedback,,,2,8
2,4.898309230804443,7.2859002279583365,28.09155540401116,polar,manual,scaling_only,no_error_feedback,,,2,8
3,5.9538750648498535,7.197897969046608,35.290579485939816,polar,manual,scaling_only,no_error_feedback,,,2,8
4,8.071985244750977,7.274770356016234,42.566107539925724,polar,manual,scaling_only,no_error_feedback,,,2,8
5,5.77176570892334,7.231792884063907,49.79885648796335,polar,manual,scaling_only,no_error_feedback,,,2,8
6,6.367119312286377,7.2135929089272395,57.013485030969605,polar,manual,scaling_only,no_error_feedback,,,2,8
7,5.260524272918701,7.235338921076618,64.24985173495952,polar,manual,scaling_only,no_error_feedback,,,2,8
8,5.232657432556152,7.244257636950351,71.49529474996962,polar,manual,scaling_only,no_error_feedback,,,2,8
9,5.251550674438477,7.199555819970556,78.69569940399379,polar,manual,scaling_only,no_error_feedback,,,2,8
10,4.507716178894043,7.202830599970184,85.89935772796161,polar,manual,scaling_only,no_error_feedback,,,2,8
11,4.391781806945801,7.204999056062661,93.10532033396885,polar,manual,scaling_only,no_error_feedback,,,2,8
12,5.332003593444824,7.252064254018478,100.3581802949775,polar,manual,scaling_only,no_error_feedback,,,2,8
13,5.050445556640625,7.2127218910027295,107.57170033303555,polar,manual,scaling_only,no_error_feedback,,,2,8
14,4.997314453125,7.306238232995383,114.87887079396751,polar,manual,scaling_only,no_error_feedback,,,2,8
15,5.550454139709473,7.190704130916856,122.07039512402844,polar,manual,scaling_only,no_error_feedback,,,2,8
16,3.930631399154663,7.371475843014196,129.44274144095834,polar,manual,scaling_only,no_error_feedback,,,2,8
17,4.422710418701172,7.232849420979619,136.67662182892673,polar,manual,scaling_only,no_error_feedback,,,2,8
18,4.7463579177856445,7.253609481966123,143.9310699889902,polar,manual,scaling_only,no_error_feedback,,,2,8
19,3.80588960647583,7.189099366078153,151.12094362895004,polar,manual,scaling_only,no_error_feedback,,,2,8
20,4.745403289794922,7.238383005023934,158.36028710799292,polar,manual,scaling_only,no_error_feedback,,,2,8
21,5.537112236022949,7.258982217987068,165.6201586049283,polar,manual,scaling_only,no_error_feedback,,,2,8
22,4.850567817687988,7.188898484921083,172.80993904394563,polar,manual,scaling_only,no_error_feedback,,,2,8
23,4.126965045928955,7.220104931038804,180.03077594493516,polar,manual,scaling_only,no_error_feedback,,,2,8
24,3.5471112728118896,7.220057585975155,187.2517516289372,polar,manual,scaling_only,no_error_feedback,,,2,8
25,4.41380500793457,7.230927646975033,194.48340886295773,polar,manual,scaling_only,no_error_feedback,,,2,8
26,4.860317230224609,7.300318379071541,201.78472205996513,polar,manual,scaling_only,no_error_feedback,,,2,8
27,4.128688335418701,7.2221144690411165,209.00786555395462,polar,manual,scaling_only,no_error_feedback,,,2,8
28,4.631546497344971,7.173234952031635,216.18196157400962,polar,manual,scaling_only,no_error_feedback,,,2,8
29,4.570816993713379,7.212525323964655,223.39521414693445,polar,manual,scaling_only,no_error_feedback,,,2,8
30,5.421960830688477,7.210035169962794,230.60614091693424,polar,manual,scaling_only,no_error_feedback,,,2,8
31,4.183506011962891,7.203093918971717,237.80996384297032,polar,manual,scaling_only,no_error_feedback,,,2,8
32,4.829981327056885,7.198703116970137,245.00958400894888,polar,manual,scaling_only,no_error_feedback,,,2,8
33,4.505208969116211,7.208102993899956,252.21862485201564,polar,manual,scaling_only,no_error_feedback,,,2,8
34,4.2780022621154785,7.253813182935119,259.47317203797866,polar,manual,scaling_only,no_error_feedback,,,2,8
35,5.213561058044434,7.230945214047097,266.70486570498906,polar,manual,scaling_only,no_error_feedback,,,2,8
36,4.485139846801758,7.2377164190402254,273.9433023210149,polar,manual,scaling_only,no_error_feedback,,,2,8
37,4.676187038421631,7.22998483502306,281.1740047800122,polar,manual,scaling_only,no_error_feedback,,,2,8
38,4.254728317260742,7.248914189985953,288.4238344259793,polar,manual,scaling_only,no_error_feedback,,,2,8
39,3.6941685676574707,7.260779064963572,295.68567331298254,polar,manual,scaling_only,no_error_feedback,,,2,8
40,4.747169494628906,7.185154726961628,302.87197477393784,polar,manual,scaling_only,no_error_feedback,,,2,8
41,5.226352214813232,7.268747952999547,310.14145182294305,polar,manual,scaling_only,no_error_feedback,,,2,8
42,4.414788246154785,7.273972610011697,317.41617810202297,polar,manual,scaling_only,no_error_feedback,,,2,8
43,4.644444465637207,7.245360195985995,324.6623331309529,polar,manual,scaling_only,no_error_feedback,,,2,8
44,3.4036481380462646,7.24753336107824,331.9105805869913,polar,manual,scaling_only,no_error_feedback,,,2,8
45,4.136187553405762,7.256890150951222,339.1684271310223,polar,manual,scaling_only,no_error_feedback,,,2,8
46,3.5907578468322754,7.217312716995366,346.3864716059761,polar,manual,scaling_only,no_error_feedback,,,2,8
47,5.1823883056640625,7.247736794059165,353.6351295700297,polar,manual,scaling_only,no_error_feedback,,,2,8
48,4.561314582824707,7.220491669024341,360.8563595819287,polar,manual,scaling_only,no_error_feedback,,,2,8
49,4.282179832458496,7.197869108989835,368.0551363499835,polar,manual,scaling_only,no_error_feedback,,,2,8
