step,loss,step_time_s,elapsed_s,train_mode,baseline_mode,polar_hook,ablation,local_sgd_mode,local_sgd_steps,dp_world_size,pp_size
0,10.708136558532715,15.247656840016134,15.44974294793792,polar,manual,ef_only,no_gradient_scaling,,,2,8
1,6.983284950256348,7.322844537906349,22.774725441006012,polar,manual,ef_only,no_gradient_scaling,,,2,8
2,5.360286235809326,7.291162515990436,30.067074439954013,polar,manual,ef_only,no_gradient_scaling,,,2,8
3,6.463612079620361,7.253291031927802,37.321663497947156,polar,manual,ef_only,no_gradient_scaling,,,2,8
4,6.030989646911621,7.345868302043527,44.66858976194635,polar,manual,ef_only,no_gradient_scaling,,,2,8
5,6.075111389160156,7.277980683022179,51.947624246939085,polar,manual,ef_only,no_gradient_scaling,,,2,8
6,6.718911647796631,7.252615138073452,59.20117151597515,polar,manual,ef_only,no_gradient_scaling,,,2,8
7,5.668549537658691,7.297775408020243,66.50009906000923,polar,manual,ef_only,no_gradient_scaling,,,2,8
8,5.751985549926758,7.326169101987034,73.82705941691529,polar,manual,ef_only,no_gradient_scaling,,,2,8
9,5.996316909790039,7.25069357000757,81.07886717002839,polar,manual,ef_only,no_gradient_scaling,,,2,8
10,4.9408674240112305,7.240277932956815,88.32030291401315,polar,manual,ef_only,no_gradient_scaling,,,2,8
11,4.730997085571289,7.3420687559992075,95.66391067998484,polar,manual,ef_only,no_gradient_scaling,,,2,8
12,5.914931297302246,7.267802778980695,102.93291543400846,polar,manual,ef_only,no_gradient_scaling,,,2,8
13,5.667717933654785,7.289757731021382,110.22384092700668,polar,manual,ef_only,no_gradient_scaling,,,2,8
14,5.68953275680542,7.371313076931983,117.59672979195602,polar,manual,ef_only,no_gradient_scaling,,,2,8
15,6.314281463623047,7.307902307016775,124.90555737202521,polar,manual,ef_only,no_gradient_scaling,,,2,8
16,4.690382957458496,7.310402757953852,132.21715513197705,polar,manual,ef_only,no_gradient_scaling,,,2,8
17,5.007986068725586,7.312616140930913,139.53052387898788,polar,manual,ef_only,no_gradient_scaling,,,2,8
18,5.503911018371582,7.289027507067658,146.82169792696368,polar,manual,ef_only,no_gradient_scaling,,,2,8
19,4.462512016296387,7.287965024006553,154.1107852369314,polar,manual,ef_only,no_gradient_scaling,,,2,8
20,5.443783760070801,7.265914289979264,161.37769177893642,polar,manual,ef_only,no_gradient_scaling,,,2,8
21,6.347873687744141,7.27034777100198,168.64894248498604,polar,manual,ef_only,no_gradient_scaling,,,2,8
22,5.533839225769043,7.313784271012992,175.9640071359463,polar,manual,ef_only,no_gradient_scaling,,,2,8
23,4.625540733337402,7.339353271992877,183.30421055993065,polar,manual,ef_only,no_gradient_scaling,,,2,8
24,3.778306484222412,7.407839104998857,190.71369976794813,polar,manual,ef_only,no_gradient_scaling,,,2,8
25,4.753166198730469,7.297781015979126,198.01272263401188,polar,manual,ef_only,no_gradient_scaling,,,2,8
26,5.332902908325195,7.265687873936258,205.2793796500191,polar,manual,ef_only,no_gradient_scaling,,,2,8
27,4.6179728507995605,7.287590826977976,212.56799052096903,polar,manual,ef_only,no_gradient_scaling,,,2,8
28,5.084259986877441,7.308925304096192,219.87785778997932,polar,manual,ef_only,no_gradient_scaling,,,2,8
29,4.938304424285889,7.345452078967355,227.22457041300368,polar,manual,ef_only,no_gradient_scaling,,,2,8
30,5.883212089538574,7.299002739018761,234.52485213102773,polar,manual,ef_only,no_gradient_scaling,,,2,8
31,4.498865127563477,7.265501495916396,241.79145153297577,polar,manual,ef_only,no_gradient_scaling,,,2,8
32,5.215730667114258,7.302870157058351,249.09532115701586,polar,manual,ef_only,no_gradient_scaling,,,2,8
33,4.769045829772949,7.27632285701111,256.37246919597965,polar,manual,ef_only,no_gradient_scaling,,,2,8
34,4.485624313354492,7.253636416979134,263.62690309702884,polar,manual,ef_only,no_gradient_scaling,,,2,8
35,5.379033088684082,7.261472724028863,270.8892091229791,polar,manual,ef_only,no_gradient_scaling,,,2,8
36,4.704219818115234,7.285698940977454,278.175681060995,polar,manual,ef_only,no_gradient_scaling,,,2,8
37,4.993558883666992,7.252257274929434,285.42870584200136,polar,manual,ef_only,no_gradient_scaling,,,2,8
38,4.502691268920898,7.288401721045375,292.7179770299699,polar,manual,ef_only,no_gradient_scaling,,,2,8
39,3.9443047046661377,7.315081894979812,300.0340176769532,polar,manual,ef_only,no_gradient_scaling,,,2,8
40,5.09566593170166,7.262612632010132,307.29734907497186,polar,manual,ef_only,no_gradient_scaling,,,2,8
41,5.631920337677002,7.299701469019055,314.5978183109546,polar,manual,ef_only,no_gradient_scaling,,,2,8
42,4.704890727996826,7.281745191896334,321.88033334200736,polar,manual,ef_only,no_gradient_scaling,,,2,8
43,5.06712532043457,7.258607994997874,329.13990412000567,polar,manual,ef_only,no_gradient_scaling,,,2,8
44,3.666301727294922,7.304679263965227,336.44534209300764,polar,manual,ef_only,no_gradient_scaling,,,2,8
45,4.377946853637695,7.336496524978429,343.78303123195656,polar,manual,ef_only,no_gradient_scaling,,,2,8
46,3.7752981185913086,7.277843373012729,351.06164684693795,polar,manual,ef_only,no_gradient_scaling,,,2,8
47,5.458779335021973,7.267774080042727,358.3301790829282,polar,manual,ef_only,no_gradient_scaling,,,2,8
48,4.756772041320801,7.261011229944415,365.59207908192184,polar,manual,ef_only,no_gradient_scaling,,,2,8
49,4.512053966522217,7.220192574081011,372.8133931279881,polar,manual,ef_only,no_gradient_scaling,,,2,8
