step,loss,elapsed_s
1,132.61993408203125,17.49861741065979
2,56.90798568725586,30.610542058944702
4,60.362266540527344,56.162705421447754
6,35.63886260986328,81.56707310676575
8,93.46941375732422,106.87403440475464
10,32.875274658203125,132.2071018218994
12,40.986839294433594,157.60444593429565
14,29.486373901367188,183.08440494537354
16,26.90007972717285,208.29111313819885
18,25.055442810058594,233.48329496383667
20,23.083019256591797,258.92703199386597
22,21.383464813232422,284.24110198020935
24,20.50074577331543,309.4273896217346
